model,nb_lignes,nb_disques_uniques,nb_pannes,date_min,date_max
ST4000DX002,78,7,0,2016-04-01,2018-03-01
ST2000VN000,44,6,0,2016-01-01,2016-08-01
WDC WD1600AAJB,24,6,0,2016-01-01,2016-06-01
WDC  WDS250G2B0A,7,6,0,2021-12-01,2022-06-01
WDC WD5002ABYS,70,5,0,2016-01-01,2017-12-01
WDC WD800BB,16,5,0,2016-01-01,2016-04-01
ST250LT007,14,4,0,2016-01-01,2016-05-01
WDC WD800JB,14,4,0,2016-01-01,2016-05-01
WDC WD10EADX,6,4,0,2016-03-01,2017-01-01
Seagate BarraCuda SSD ZA2000CM10002,153,4,0,2019-01-01,2022-09-01
SSDSCKKB480G8R,10,4,0,2021-01-01,2021-03-01
Hitachi HDS724040ALE640,88,3,0,2016-01-01,2019-01-01
WDC WD2500AAJS,93,3,0,2016-01-01,2019-03-01
WDC WD3200AAJS,83,3,0,2016-01-01,2019-01-01
ST6000DM004,72,3,0,2017-12-01,2022-09-01
Seagate BarraCuda 120 SSD ZA500CM10003,9,3,0,2022-07-01,2022-09-01
WDC WD1600BPVT,28,2,0,2016-01-01,2018-04-01
WDC WD3200AAJB,6,2,0,2016-01-01,2016-03-01
WDC WD5003ABYX,35,2,0,2016-01-01,2017-07-01
WDC WD10EARS,2,2,0,2016-03-01,2016-08-01
MTFDDAV240TDU,10,2,0,2020-11-01,2021-03-01
Seagate FireCuda 120 SSD ZA500GM10001,3,2,0,2022-08-01,2022-09-01
HGST HUS728T8TALE6L4,2,2,0,2022-09-01,2022-09-01
Hitachi HDS5C3030BLE630,16,1,0,2016-01-01,2017-04-01
Hitachi HDT725025VLA380,16,1,0,2016-01-01,2017-04-01
SAMSUNG HD154UI,1,1,0,2016-01-01,2016-01-01
ST31500341AS,1,1,0,2016-01-01,2016-01-01
ST3500320AS,17,1,0,2016-01-01,2017-05-01
WDC WD2500AAJB,6,1,0,2016-01-01,2016-06-01
WDC WD2500BEVT,16,1,0,2016-01-01,2017-04-01
WDC WD3200AAKS,18,1,0,2016-01-01,2018-03-01
WDC WD3200BEKT,4,1,0,2016-01-01,2016-04-01
WDC WD3200LPVX,30,1,0,2016-01-01,2018-06-01
WDC WD800JD,3,1,0,2016-01-01,2016-03-01
WDC WD800LB,3,1,0,2016-01-01,2016-03-01
WDC WD15EARS,1,1,0,2016-03-01,2016-03-01
ST33000651AS,20,1,0,2016-08-01,2018-03-01
WDC WD1001FALS,1,1,0,2016-09-01,2016-09-01
WDC WD10EALS,1,1,0,2016-09-01,2016-09-01
ST1000LM024 HN,66,1,0,2016-12-01,2022-09-01
WDC WD1000FYPS,1,1,0,2017-01-01,2017-01-01
HGST HMS5C4040BLE641,47,1,0,2018-11-01,2022-09-01
